Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.3808,0.4539,0.4230,0.5111,0.4961,0.4464,0.4334,0.3995,0.4614,0.4613
cardio,1831,21,9.6122,0.2374,0.5876,0.1690,0.4476,0.5041,0.3323,0.1541,0.4317,0.5011,0.6090
glass,214,9,4.2056,0.1702,0.0726,0.1476,0.0000,0.0726,0.0726,0.1476,0.0000,0.1726,0.0726
ionosphere,351,33,35.8974,0.8442,0.6088,0.7056,0.3295,0.6369,0.8602,0.7063,0.8806,0.7000,0.5729
letter,1600,32,6.2500,0.3801,0.0749,0.3642,0.0715,0.1003,0.3312,0.3641,0.1933,0.1510,0.0875
lympho,148,18,4.0541,0.4483,0.7517,0.7517,0.8467,0.9267,0.7517,0.7517,0.5183,0.7517,0.7517
mnist,7603,100,9.2069,0.3555,0.3348,0.3299,0.1188,0.3135,0.4204,0.3343,0.3462,0.3962,0.3846
musk,3062,166,3.1679,0.0507,0.7766,0.2230,0.9783,0.9680,0.2733,0.1695,0.9742,1.0000,0.9799
optdigits,5216,64,2.8758,0.0060,0.0000,0.0244,0.2194,0.0301,0.0000,0.0234,0.0000,0.0000,0.0000
pendigits,6870,16,2.2707,0.0812,0.2768,0.0658,0.2979,0.3422,0.0984,0.0653,0.0893,0.3287,0.3187
pima,768,8,34.8958,0.5193,0.5413,0.4480,0.5424,0.5111,0.5413,0.4555,0.4962,0.4704,0.4943
satellite,6435,36,31.6395,0.3902,0.4152,0.3902,0.5690,0.5676,0.4994,0.3893,0.6845,0.5346,0.4784
satimage-2,5803,36,1.2235,0.2130,0.8846,0.0555,0.6939,0.8754,0.3809,0.0555,0.6481,0.9356,0.8041
shuttle,49097,9,7.1511,0.1977,0.2943,0.0695,0.9551,0.9546,0.2184,0.1424,0.7506,0.9542,0.9501
vertebral,240,6,12.5000,0.0601,0.0000,0.0644,0.0071,0.0343,0.0238,0.0506,0.0071,0.0238,0.0226
vowels,1456,12,3.4341,0.5710,0.0831,0.3224,0.1297,0.1875,0.5093,0.3551,0.2186,0.2791,0.1364
wbc,378,30,5.5556,0.3060,0.5055,0.5188,0.5817,0.5088,0.4952,0.5188,0.4577,0.5125,0.4767
