Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,LSCP
arrhythmia,452,274,14.6018,0.374,0.1409,0.5566,0.1469,0.2572,0.0976,0.0723,0.6016,0.0476,0.0596,1.8041
cardio,1831,21,9.6122,0.3637,0.0217,0.8016,0.0056,0.2867,0.2226,0.105,0.5143,0.0914,0.0038,3.3281
glass,214,9,4.2056,0.0352,0.0128,0.0278,0.0016,0.1567,0.0127,0.0022,0.0383,0.0015,0.001,0.2012
ionosphere,351,33,35.8974,0.0587,0.0169,0.066,0.0078,0.1849,0.0228,0.006,0.0578,0.0051,0.0022,0.3703
letter,1600,32,6.25,0.3319,0.0221,0.7389,0.008,0.2572,0.1637,0.0924,0.9713,0.0873,0.0045,3.1145
lympho,148,18,4.0541,0.0284,0.0171,0.027,0.0043,0.1667,0.0087,0.0021,0.0338,0.0012,0.001,0.1388
mnist,7603,100,9.2069,7.0412,0.0475,45.7463,0.0478,1.9339,6.7763,6.4203,2.5654,4.7525,0.1513,146.2224
musk,3062,166,3.1679,2.0537,0.0455,11.7174,0.0493,0.9907,1.7191,1.5493,9.68,1.212,0.1475,38.6129
optdigits,5216,64,2.8758,2.1879,0.0318,11.8058,0.0255,0.6474,1.7063,1.4831,0.9539,1.3605,0.0445,38.288
pendigits,6870,16,2.2707,1.2799,0.0326,3.6209,0.008,0.5069,0.6721,0.536,1.566,0.8901,0.0054,15.3573
pima,768,8,34.8958,0.1135,0.0153,0.0837,0.0018,0.1811,0.0443,0.0096,0.0502,0.0104,0.001,0.6555
satellite,6435,36,31.6395,1.6487,0.0333,7.0337,0.0163,0.6374,1.0924,0.9317,1.8058,1.288,0.0247,23.2239
satimage-2,5803,36,1.2235,1.6925,0.0406,6.12,0.0174,0.6441,1.0753,0.8087,1.9241,1.1575,0.0169,23.5951
vertebral,240,6,12.5,0.0448,0.0157,0.0324,0.0017,0.1779,0.0167,0.003,0.0496,0.0018,0.0011,0.2316
vowels,1456,12,3.4341,0.268,0.0191,0.2979,0.0037,0.258,0.1093,0.0364,0.7747,0.0424,0.002,1.8441
wbc,378,30,5.5556,0.0695,0.0216,0.0806,0.0079,0.2084,0.0275,0.0074,0.0639,0.0059,0.0022,0.4293
