,Data,#Samples,# Dimensions,Outlier Perc,MO-GAAL,SO-GAAL,AutoEncoder,VAE,AnoGAN,DeepSVDD,ALAD,AE1SVM,DevNet,LUNAR
0,arrhythmia,452,274,14.6018,2.2201,0.4481,2.3577,0.8746,25.0503,0.4209,2.6153,1.4392,0.3011,1.0523
0,cardio,1831,21,9.6122,1.935,0.4122,0.6947,2.932,95.7761,1.4623,2.7029,5.3502,0.4773,0.9887
0,glass,214,9,4.2056,0.6103,0.0928,0.0874,0.3567,11.0639,0.1817,2.5448,0.6271,0.0824,0.9243
0,ionosphere,351,33,35.8974,0.6259,0.1123,0.1285,0.5312,18.8991,0.3043,2.5635,1.0727,0.1084,1.2895
0,letter,1600,32,6.25,1.4954,0.3275,0.6169,2.614,82.8181,1.2625,2.7119,4.6007,0.4063,0.9716
0,lympho,148,18,4.0541,0.5972,0.0854,0.0476,0.1826,8.0602,0.1397,2.5423,0.4654,0.0658,1.3465
0,mnist,7603,100,9.2069,7.1153,2.5733,2.926,12.5522,398.1935,5.9011,3.3021,21.9616,2.5411,2.3247
0,musk,3062,166,3.1679,2.7724,1.497,1.1978,5.0226,162.3098,2.4641,2.8737,9.0085,1.3459,1.257
0,optdigits,5216,64,2.8758,4.8944,1.4061,2.0056,8.4954,272.4242,4.0775,3.0446,15.0324,1.4741,1.5397
0,pendigits,6870,16,2.2707,6.2045,1.5857,2.6522,11.2758,351.1087,5.0944,3.1435,19.4177,1.4525,1.6487
0,pima,768,8,34.8958,0.6682,0.1511,0.2856,1.2059,39.4155,0.6038,2.5746,2.265,0.1911,0.8936
0,satellite,6435,36,31.6395,5.5677,1.5037,2.4127,10.2862,326.4625,4.8506,3.109,18.271,1.5682,1.8521
0,satimage-2,5803,36,1.2235,4.8854,1.2301,2.177,9.2547,295.0104,4.2977,3.0388,16.3908,1.4015,1.6889
0,shuttle,49097,9,7.1511,54.5689,12.518,18.359,78.2603,2472.4886,36.2362,7.0884,138.645,12.3863,9.7518
0,vertebral,240,6,12.5,0.6014,0.0915,0.0858,0.3476,12.7787,0.2069,2.5141,0.7572,0.0818,0.8338
0,vowels,1456,12,3.4341,1.4241,0.2844,0.545,2.3138,74.3473,1.1114,2.6293,4.2116,0.3274,0.9719
0,wbc,378,30,5.5556,0.6167,0.1117,0.1449,0.6031,20.4393,0.3196,2.5309,1.2024,0.1141,1.2352
