,Multi-dimensional point data,Label
0,"[0.004912314661768384, 0.6931907749193863, -0.20364048566636067, 0.5953221199773836, 0.3531896091253836, -0.06140064449540183, -0.27829494600614724, -1.6504444180265465, 0.7590724601030867, -0.42048734791506204, 0.3721491555369604, 1.48597291930713, -0.798376447055488, 1.8547276120761904, 0.6226310328614728, 0.9630825413965729, 0.30146434801842564, 0.19311343910592937, 0.23149794971397172, -0.2897857448663603, -0.49329396944014214]",0.0
1,"[0.11072935166995092, -0.07990259076591222, -0.20364048566636067, 1.2689423427241224, 0.3962455685260084, -0.06140064449540183, -0.27829494600614724, -1.710269883340557, 0.7590724601030867, -0.42048734791506204, 0.8827944671288142, 1.48597291930713, -0.798376447055488, 1.8547276120761904, 0.2786245690203875, 0.9630825413965729, 0.30146434801842564, 0.12926535188979407, 0.09356344078905118, -0.2563854113116388, -0.49329396944014214]",0.0
2,"[0.21654638867813344, -0.27244465681371166, -0.20364048566636067, 1.05098836540438, 0.14875252497966016, -0.06140064449540183, -0.27829494600614724, -1.710269883340557, 1.1065089256764777, -0.42048734791506204, 2.516859464222746, 1.1417802701472335, -1.3329305455045126, 0.31468849546693123, 2.3426633520668996, -0.48827888518542284, 0.06100204297737269, 0.06541726467365877, 0.024596186326590913, -0.2563854113116388, 1.1400175279285745]",0.0
3,"[0.004912314661768384, 0.7273460470179935, -0.20364048566636067, 1.2121707661302001, -0.6835984744007735, -0.06140064449540183, -0.27829494600614724, -1.710269883340557, 1.1065089256764777, -0.42048734791506204, 1.9891926422444972, 1.1417802701472335, -1.3329305455045126, 0.31468849546693123, 1.6546504243847289, -0.48827888518542284, 0.06100204297737269, 0.19311343910592937, 0.09356344078905118, -0.32318607842108177, 1.1400175279285745]",0.0
4,"[-0.10090472234641415, 0.3635945118619423, 1.3213661804330776, 1.0271203201953611, 0.14135854290700492, -0.06140064449540183, -0.27829494600614724, -0.9923642995724323, -0.05161262623482621, -0.42048734791506204, 0.7976869151968385, -0.20851396886466853, -0.08563764912345541, -0.5653338568812168, 0.2786245690203875, -0.48827888518542284, -0.0592291095431538, 0.06541726467365877, 0.024596186326590913, -0.4567874126399677, 1.1400175279285745]",0.0
5,"[-0.10090472234641415, 1.3753142123917679, 4.484914126612408, 0.4805557527302568, -0.1918691860706185, -0.06140064449540183, -0.27829494600614724, -0.9923642995724323, 0.06419952895630429, -0.42048734791506204, -0.478926363782796, 0.34748954131670284, -0.6914656273656832, -0.3453282687941798, -0.7533948225028685, -0.48827888518542284, 0.30146434801842564, 0.2569615263220647, 0.30046520417643197, -0.3565864119758032, 1.1400175279285745]",0.0
6,"[-0.20672175935459666, 0.5562925455614611, 8.394663196772184, -0.1774076448232573, 0.9429222482837751, -0.06140064449540183, 1.1044159794875996, -1.411142556770505, 0.9906967704853472, -0.42048734791506204, -0.05338860412291783, 0.8770166938703898, -0.8340133869520897, 0.5346940835539682, 0.9666374967025582, -0.48827888518542284, 0.42169550053895216, -0.5092155202715589, -0.11333832259832963, 1.847835602635815, -0.49329396944014214]",0.0
7,"[-0.20672175935459666, 0.48873490941060704, 7.812425925133132, -0.17456384263345393, 0.67447838624258, -0.06140064449540183, 2.0307166995871464, -1.5307934873985258, 0.9906967704853472, -0.42048734791506204, 0.08278347896824301, 0.8770166938703898, -0.8340133869520897, 0.5346940835539682, -0.40938835866178314, -0.48827888518542284, -0.11934468580341705, -0.3815193458392883, -0.2512728315232502, 0.7456245953300059, -0.49329396944014214]",0.0
8,"[-0.20672175935459666, 0.6195296400657914, 9.102202747345364, -0.03888693269325105, 0.8005707366197339, -0.06140064449540183, -0.27829494600614724, -1.2316661608284738, 0.7590724601030867, -0.42048734791506204, 0.457256707468936, 1.353591131168708, -1.3329305455045126, 0.7546996716410053, 0.2786245690203875, -0.48827888518542284, 0.42169550053895216, -0.31767125862315304, 0.09356344078905118, 1.6474336013074862, 1.1400175279285745]",0.0
9,"[-0.20672175935459666, -0.20059770794789558, 9.302999354793023, 0.35411203673083136, 0.7034558311589688, -0.06140064449540183, 2.0799842948600027, -1.2914916261424843, 0.5274481497208258, -0.42048734791506204, 0.09980498935463837, 0.6652058328489151, -1.1191089061249027, -0.3453282687941798, 0.6226310328614728, -0.48827888518542284, -0.1794602620636803, -0.5730636074876942, -0.5271418493730913, 0.5118222604469554, 1.1400175279285745]",0.0
10,"[-0.20672175935459666, 0.35818768384216587, 9.689349739696377, 0.1319782871326355, 0.6855382536876765, -0.06140064449540183, 1.118394478828141, -0.9325388342584219, 0.29582383933856504, -0.42048734791506204, -0.07041011450931305, 1.0093984820088115, -0.9052872667452929, 0.6996982746192459, 0.6226310328614728, 0.9630825413965729, -0.1794602620636803, -0.2538231714070177, -0.2512728315232502, 0.21121925845446207, -0.49329396944014214]",0.0
11,"[-0.4183558333709617, 0.2653201997731627, 8.756442537851335, -0.542935062608468, 0.33212983954866937, -0.06140064449540183, 2.3121274198077497, -1.1120152302004531, 0.29582383933856504, -0.42048734791506204, -0.2576467287596594, 1.7772128532116578, -1.190382785918106, 1.8547276120761904, 1.6546504243847289, -0.48827888518542284, -0.41992256710473325, -0.5092155202715589, -0.32024008598571047, 0.4450215933375125, -0.49329396944014214]",0.0
12,"[0.004912314661768384, -0.9199884374438398, 1.878982065230863, -1.635871141309735, 3.2681712540267784, -0.06140064449540183, -0.27829494600614724, -1.1120152302004531, 5.275746512557172, -0.42048734791506204, -0.5470124053283766, 1.8301655684670266, -1.4398413651943174, 1.579720626967394, 1.9986568882258142, -0.48827888518542284, -0.1794602620636803, -1.2753925668651824, -1.3547489029226145, 2.2820399388471944, -0.49329396944014214]",0.0
13,"[0.004912314661768384, -0.9199884374438398, 2.064623674690992, -1.052485749709935, 2.56944300347163, -0.06140064449540183, -0.27829494600614724, -1.1120152302004531, 3.538564184690216, -0.42048734791506204, 0.7296008736512579, 1.9890237142331326, -1.4398413651943174, 1.9097290090979495, 1.6546504243847289, -0.48827888518542284, -0.1794602620636803, -0.8284559563522355, -0.734043612760472, 1.1798289315413852, -0.49329396944014214]",0.0
14,"[0.004912314661768384, -0.9199884374438398, 2.1554548613618616, -0.1497257598219116, 3.920269221621993, -0.06140064449540183, -0.27829494600614724, -1.3513170914564947, 6.318055909277345, -0.42048734791506204, -0.32573277030523995, 1.9890237142331326, -1.4398413651943174, 1.9097290090979495, 1.9986568882258142, -0.48827888518542284, -0.7806160246663127, -1.3392406540813178, -1.492683411847535, 1.5138322670886002, -0.49329396944014214]",0.0
15,"[0.004912314661768384, -0.9199884374438398, 1.6651726596357403, -1.1514673220642537, 2.467691598913267, -0.06140064449540183, -0.27829494600614724, -0.9325388342584219, 1.6855697016321296, -0.42048734791506204, 1.1721601436975313, 1.856641926094711, -1.4398413651943174, 1.6347220239891533, 2.3426633520668996, 0.9630825413965729, -0.1794602620636803, -0.5730636074876942, -0.45817459491063095, 0.478421926892234, -0.49329396944014214]",0.0
16,"[-1.264892129436422, 0.9780871085220352, 1.9591230169032157, -1.3441784280228577, -0.412511671035029, -0.06140064449540183, -0.27829494600614724, -0.9923642995724323, 2.2646304775877817, -0.42048734791506204, 2.2955798291996095, 1.3800674887963926, -1.2616566657113093, 0.919703862706283, 3.0306762797490703, -0.48827888518542284, -0.9008471771868393, -0.5730636074876942, -0.734043612760472, 0.1444185913450191, -0.49329396944014214]",0.0
17,"[-1.264892129436422, 1.3822802364836388, 1.5878962422894967, -1.1051586236519775, -0.19037682927680488, -0.06140064449540183, -0.27829494600614724, -0.9923642995724323, 2.0330061672055213, -0.42048734791506204, 0.7125793632648629, 1.4330202040517612, -1.3329305455045126, 0.919703862706283, 1.6546504243847289, 0.9630825413965729, -0.41992256710473325, -0.5092155202715589, -0.6650763582980118, 0.1444185913450191, -0.49329396944014214]",0.0
18,"[-1.264892129436422, 0.6125318307375048, 2.096273873503103, 0.907689196842474, -0.6835984744007735, -0.06140064449540183, -0.27829494600614724, -1.0521897648864427, 2.612066943161173, -0.42048734791506204, 2.721117588859488, 1.856641926094711, -1.4042044252977157, 1.6897234210109124, 2.3426633520668996, -0.48827888518542284, -0.6603848721457862, -0.5730636074876942, -0.734043612760472, 0.11101825779029761, -0.49329396944014214]",0.0
19,"[-1.7939773144773346, 0.34539525143788213, 1.466786609677084, 0.11428503348966562, 0.12966190319315382, -0.06140064449540183, -0.27829494600614724, -1.2914916261424843, 2.2646304775877817, -0.42048734791506204, 1.801956027994151, 1.48597291930713, -1.368567485401114, 0.9747052597280422, 1.6546504243847289, -0.48827888518542284, -1.0210783297073658, -1.0838483052167767, -1.2857816484601543, 0.010817257126133142, -0.49329396944014214]",0.0
20,"[-1.8997943514855171, 0.23289533920867908, -0.20364048566636067, -0.04131395026705817, 0.3043439658319409, -0.06140064449540183, -0.27829494600614724, -1.2316661608284738, 2.0330061672055213, -0.42048734791506204, 1.3593967579478776, 1.5918783498178672, -1.368567485401114, 1.1947108478150792, 1.3106439605436435, -0.48827888518542284, -1.1413094822278922, -1.147696392432912, -1.3547489029226145, -0.055983409983309834, -0.49329396944014214]",0.0
21,"[-1.7939773144773346, 0.6584500425353929, 1.1650143339463641, -0.3259851875229501, -0.27781436291185013, -0.06140064449540183, -0.27829494600614724, -1.3513170914564947, 2.4962547879700425, -0.42048734791506204, 1.9381281110853121, 1.6977837803286047, -1.4398413651943174, 1.3047136418585978, 1.3106439605436435, -0.48827888518542284, -1.1413094822278922, -1.0200002180006413, -1.2168143939976939, 0.010817257126133142, -0.49329396944014214]",0.0
