,Multi-dimensional point data,Label
0,"[1.0, 0.99539, -0.05889, 0.85243, 0.02306, 0.83398, -0.37708, 1.0, 0.0376, 0.85243, -0.17755, 0.59755, -0.44945, 0.60536, -0.38223, 0.84356, -0.38542, 0.58212, -0.32192, 0.56971, -0.29674, 0.36946, -0.47357, 0.56811, -0.51171, 0.41078, -0.46168, 0.21266, -0.3409, 0.42267, -0.54487, 0.18641, -0.453]",0
1,"[1.0, 1.0, -0.18829, 0.93035, -0.36156, -0.10868, -0.93597, 1.0, -0.04549, 0.50874, -0.67743, 0.34432, -0.69707, -0.51685, -0.97515, 0.05499, -0.62237, 0.33109, -1.0, -0.13151, -0.453, -0.18056, -0.35734, -0.20332, -0.26569, -0.20468, -0.18401, -0.1904, -0.11593, -0.16626, -0.06288, -0.13738, -0.02447]",1
2,"[1.0, 1.0, -0.03365, 1.0, 0.00485, 1.0, -0.12062, 0.88965, 0.01198, 0.73082, 0.05346, 0.85443, 0.00827, 0.54591, 0.00299, 0.83775, -0.13644, 0.75535, -0.0854, 0.70887, -0.27502, 0.43385, -0.12062, 0.57528, -0.4022, 0.58984, -0.22145, 0.431, -0.17365, 0.60436, -0.2418, 0.56045, -0.38238]",0
3,"[1.0, 1.0, -0.45161, 1.0, 1.0, 0.71216, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.14516, 0.54094, -0.3933, -1.0, -0.54467, -0.69975, 1.0, 0.0, 0.0, 1.0, 0.90695, 0.51613, 1.0, 1.0, -0.20099, 0.25682, 1.0, -0.32382, 1.0]",1
4,"[1.0, 1.0, -0.02401, 0.9414, 0.06531, 0.92106, -0.23255, 0.77152, -0.16399, 0.52798, -0.20275, 0.56409, -0.00712, 0.34395, -0.27457, 0.5294, -0.2178, 0.45107, -0.17813, 0.05982, -0.35575, 0.02309, -0.52879, 0.03286, -0.65158, 0.1329, -0.53206, 0.02431, -0.62197, -0.05707, -0.59573, -0.04608, -0.65697]",0
5,"[1.0, 0.02337, -0.00592, -0.09924, -0.11949, -0.00763, -0.11824, 0.14706, 0.06637, 0.03786, -0.06302, 0.0, 0.0, -0.04572, -0.1554, -0.00343, -0.10196, -0.11575, -0.05414, 0.01838, 0.03669, 0.01519, 0.00888, 0.03513, -0.01535, -0.0324, 0.09223, -0.07859, 0.00732, 0.0, 0.0, -0.00039, 0.12011]",1
6,"[1.0, 0.97588, -0.10602, 0.94601, -0.208, 0.92806, -0.2835, 0.85996, -0.27342, 0.79766, -0.47929, 0.78225, -0.50764, 0.74628, -0.61436, 0.57945, -0.68086, 0.37852, -0.73641, 0.36324, -0.76562, 0.31898, -0.79753, 0.22792, -0.81634, 0.13659, -0.8251, 0.04606, -0.82395, -0.04262, -0.81318, -0.13832, -0.80975]",0
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",1
8,"[1.0, 0.96355, -0.07198, 1.0, -0.14333, 1.0, -0.21313, 1.0, -0.36174, 0.9257, -0.43569, 0.9451, -0.40668, 0.90392, -0.46381, 0.98305, -0.35257, 0.84537, -0.6602, 0.75346, -0.60589, 0.69637, -0.64225, 0.85106, -0.6544, 0.57577, -0.69712, 0.25435, -0.63919, 0.45114, -0.72779, 0.38895, -0.7342]",0
9,"[1.0, -0.01864, -0.08459, 0.0, 0.0, 0.0, 0.0, 0.1147, -0.2681, -0.45663, -0.38172, 0.0, 0.0, -0.33656, 0.38602, -0.37133, 0.15018, 0.63728, 0.22115, 0.0, 0.0, 0.0, 0.0, -0.14803, -0.01326, 0.20645, -0.02294, 0.0, 0.0, 0.16595, 0.24086, -0.08208, 0.38065]",1
