feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,label
6,10,5,6,3,10,6,4,6,14,3,6,2,9,4,11,4,10,5,8,2,7,9,0,8,14,6,6,0,10,2,7,0
0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,0
4,7,5,5,3,7,8,2,7,7,6,9,0,8,4,8,1,4,0,2,0,7,7,1,7,7,6,8,0,8,2,8,0
1,6,1,4,2,7,7,0,7,7,6,8,0,8,3,8,2,2,1,3,1,7,7,1,8,7,6,8,0,8,3,8,0
1,2,1,3,1,7,7,1,7,7,6,8,0,8,3,8,1,4,1,3,1,7,7,1,8,7,6,9,0,8,3,8,0
1,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,0
4,8,5,6,3,8,9,1,7,7,6,7,0,7,4,7,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,0
2,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,1,4,0,2,0,7,7,1,7,7,6,8,0,8,2,8,0
1,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8,5,10,6,8,4,6,6,2,7,7,6,10,0,9,4,8,0
1,3,0,2,0,7,7,1,7,7,6,8,0,8,2,8,0,8,0,5,0,7,7,4,4,7,6,8,0,8,0,8,0
7,14,6,8,4,10,7,2,5,11,5,6,2,9,5,12,1,3,2,2,0,7,7,1,7,13,6,8,0,8,1,8,0
0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,7,11,6,6,3,8,8,3,6,13,4,5,2,8,6,10,0
3,8,4,6,2,7,7,0,7,13,6,8,0,8,1,8,2,5,4,4,1,7,7,0,7,13,6,8,0,8,1,8,0
2,5,3,3,1,7,8,1,7,14,6,7,0,8,1,7,3,11,6,8,7,11,6,1,6,8,4,5,3,8,5,9,0
1,4,2,2,1,7,7,1,7,13,6,8,0,8,1,8,3,7,4,5,1,6,8,1,8,14,7,8,0,8,1,7,0
2,9,3,7,3,7,7,0,7,7,6,8,0,8,3,8,2,11,2,9,2,7,7,0,8,7,6,8,0,8,3,8,0
0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,0
1,5,1,3,1,7,7,1,8,7,6,8,0,8,3,8,5,12,5,7,3,9,8,3,6,13,4,5,2,8,5,10,0
2,8,3,6,1,9,7,0,8,14,5,8,0,8,1,8,2,5,3,3,1,7,8,1,8,14,6,7,0,8,1,7,0
5,10,4,6,2,9,7,3,6,13,4,5,2,9,4,10,2,8,3,6,2,7,7,0,7,13,6,8,0,8,1,8,0
3,7,4,5,2,7,7,0,8,14,6,8,0,8,1,8,1,2,1,3,1,7,7,1,7,7,6,8,0,8,3,8,0
2,11,2,8,4,7,7,0,7,7,6,8,0,8,3,8,1,9,0,6,1,7,7,5,3,7,6,8,0,8,0,8,0
0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,1,11,0,8,0,7,7,4,4,7,6,8,0,8,0,8,0
0,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,7,14,6,8,4,10,6,4,6,14,3,6,2,8,6,10,0
1,4,2,3,1,7,8,0,6,13,6,8,0,8,0,8,1,3,2,2,1,7,7,1,7,13,6,8,0,8,1,8,0
0,3,1,2,1,7,7,1,6,7,6,8,0,8,2,8,3,9,5,6,3,7,7,0,7,13,6,9,0,8,1,8,0
0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,6,14,6,8,3,8,7,2,5,13,4,5,2,8,6,10,0
4,8,5,6,3,8,9,1,7,7,6,7,0,7,4,7,3,7,5,5,5,9,7,2,4,8,5,5,3,9,5,6,0
0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,4,5,6,5,4,8,9,4,5,7,6,9,3,8,8,7,0
1,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,3,10,5,7,2,7,7,0,9,14,6,8,0,8,1,8,0
1,7,2,5,2,7,7,0,7,7,6,8,0,8,2,8,1,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,0
1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,8,1,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,0
0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,3,11,3,8,4,8,7,0,7,7,6,8,0,8,3,8,0
9,14,6,8,3,10,4,5,5,13,3,8,3,7,5,10,4,5,6,5,4,8,9,4,6,7,7,8,3,8,8,8,0
0,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,1,4,2,3,1,7,8,0,7,13,6,8,0,8,1,7,0
