,Multi-dimensional point data,Label
0,"[0.469770005467, 1.0, 0.270463047978, 0.812819248999, 0.57824585243, 0.371699750742, 0.261600206328, 0.0, 0.0, 0.234127342336, 0.565462858513, 0.533162855079, 1.0, 0.901007510555, 0.40243921251, 0.982794908532]",0
1,"[0.0, 0.887155628067, 0.275891166072, 1.0, 0.421130277668, 0.75800387651, 0.296084638253, 0.449351436401, 0.150966269787, 0.150846232319, 0.376990591504, 0.0, 0.689886128026, 0.0190724064072, 1.0, 0.0574175991484]",0
2,"[0.0, 0.568409504296, 0.321768429423, 0.68232590058, 0.729608609767, 0.903011692648, 1.0, 1.0, 0.758612591435, 0.752239312508, 0.504584696406, 0.505996707227, 0.285181283121, 0.255832565431, 0.162747882931, 0.0]",0
3,"[0.0, 1.0, 0.0707173096138, 0.918845937356, 0.0471448730759, 0.686851162444, 0.189418699205, 0.45742630007, 0.863797117717, 0.345192751578, 1.0, 0.456064909527, 0.753982793325, 0.231129927102, 0.660028223062, 0.0]",0
4,"[0.0, 0.671232876712, 0.482426730578, 0.826872281753, 1.0, 1.0, 0.818487832513, 0.802208776297, 0.596661838543, 0.603269626723, 0.398628462181, 0.403492845746, 0.320968015259, 0.200536021085, 0.458525736085, 0.0]",0
5,"[1.0, 1.0, 0.880607501959, 0.992925444003, 0.50391391695, 0.744309127596, 0.180814911356, 0.471957918856, 0.0, 0.162109366895, 0.383700559252, 0.0, 0.74260083718, 0.161827212045, 0.196883742411, 0.2]",0
6,"[0.0, 1.0, 0.0288889021151, 0.71779430849, 0.265378771434, 0.347803057412, 0.851249508707, 0.356813692632, 1.0, 0.708803727057, 0.738420762399, 0.969496244599, 0.652417935173, 0.488468307055, 0.655708677553, 0.0]",0
7,"[0.132477037148, 0.890655515012, 0.120341828703, 0.503815662986, 0.716134139373, 0.379635930009, 0.562415947436, 0.0, 0.0418378249566, 0.165405550484, 0.0, 0.608762064046, 0.323997111027, 0.939485880966, 1.0, 1.0]",0
8,"[0.730015844872, 0.869525722962, 0.30432101107, 1.0, 0.0, 0.690524341209, 0.618451941897, 0.643049621279, 0.99174603611, 0.795898823452, 1.0, 0.375276394206, 0.836703897898, 0.0, 0.177474330036, 0.00832229647111]",0
9,"[0.473058052476, 0.952986596407, 0.63370440877, 0.651844425837, 0.878958770741, 0.278610127995, 0.232432551527, 0.0, 0.234667824095, 0.334070940266, 0.803745920014, 0.670018613866, 1.0, 1.0, 0.0, 0.84870747334]",0
10,"[1.0, 1.0, 0.720693384059, 0.993957752718, 0.364424273491, 0.77964626094, 0.336882462423, 0.538629058012, 0.793418526716, 0.470938899374, 0.645808469947, 0.131578368213, 0.191983534163, 0.0, 0.0, 0.0151136930623]",0
11,"[0.91037207089, 0.732598382909, 0.547004795331, 1.0, 0.0, 0.864201938535, 0.229629126438, 0.586421331652, 0.814008867162, 0.670121525563, 1.0, 0.390500846115, 0.798831837075, 0.0441582915573, 0.203985562205, 0.0]",0
12,"[0.0, 0.853585726071, 0.388069828613, 1.0, 0.811693684157, 0.880078811076, 0.872222222222, 0.505032722437, 0.839280350197, 0.123663688548, 0.58426588948, 0.0, 0.536084542676, 0.222440739377, 1.0, 0.240475953995]",0
13,"[0.346845192467, 0.754981334852, 0.577755008405, 1.0, 1.0, 0.919001934473, 0.683845535565, 0.653200039299, 0.80546453608, 0.381311497129, 0.821210347923, 0.0896570325035, 0.319468003627, 0.0, 0.0, 0.170589297118]",0
14,"[0.495442115508, 0.832773697643, 0.65523598667, 1.0, 0.757580281045, 0.748591755798, 0.506306430337, 0.508532996149, 1.0, 0.415455621382, 0.963355713773, 0.127622477314, 0.486711549734, 0.0, 0.0, 0.0702076033891]",0
15,"[0.987236142007, 0.798502099085, 0.636891723957, 1.0, 0.253496190118, 0.761078180088, 0.795590207078, 0.677793116941, 1.0, 0.62530356623, 0.969650202027, 0.235844976293, 0.542754745863, 0.0, 0.0, 0.154867046325]",0
16,"[0.235097845963, 0.659661417309, 0.43440277806, 1.0, 0.588134743709, 0.651806170669, 0.342996937871, 0.284142486086, 0.0, 0.0154040742905, 0.15766873601, 0.111338145197, 0.576970120251, 0.0, 1.0, 0.0120727252455]",0
17,"[0.0, 0.724283593626, 0.196237851215, 0.993299121394, 0.718449967279, 1.0, 0.699041307898, 0.726393502807, 0.321933995697, 0.479178249474, 0.0533068855246, 0.187635166014, 0.465242767303, 0.0059299132118, 1.0, 0.0]",0
18,"[0.113439532327, 0.767651085321, 0.19634695692, 0.622926613733, 0.782791147633, 0.405269344459, 0.506175121904, 0.0, 0.0107217491315, 0.171109274312, 0.0, 0.644954854506, 0.229186880678, 0.978405634845, 1.0, 1.0]",0
