,Multi-dimensional point data,Label
0,"[6.0, 148.0, 72.0, 35.0, 0.0, 33.6, 0.627, 50.0]",1
1,"[1.0, 85.0, 66.0, 29.0, 0.0, 26.6, 0.351, 31.0]",0
2,"[8.0, 183.0, 64.0, 0.0, 0.0, 23.3, 0.672, 32.0]",1
3,"[1.0, 89.0, 66.0, 23.0, 94.0, 28.1, 0.167, 21.0]",0
4,"[0.0, 137.0, 40.0, 35.0, 168.0, 43.1, 2.288, 33.0]",1
5,"[5.0, 116.0, 74.0, 0.0, 0.0, 25.6, 0.201, 30.0]",0
6,"[3.0, 78.0, 50.0, 32.0, 88.0, 31.0, 0.248, 26.0]",1
7,"[10.0, 115.0, 0.0, 0.0, 0.0, 35.3, 0.134, 29.0]",0
8,"[2.0, 197.0, 70.0, 45.0, 543.0, 30.5, 0.158, 53.0]",1
9,"[8.0, 125.0, 96.0, 0.0, 0.0, 0.0, 0.232, 54.0]",1
10,"[4.0, 110.0, 92.0, 0.0, 0.0, 37.6, 0.191, 30.0]",0
11,"[10.0, 168.0, 74.0, 0.0, 0.0, 38.0, 0.537, 34.0]",1
12,"[10.0, 139.0, 80.0, 0.0, 0.0, 27.1, 1.441, 57.0]",0
13,"[1.0, 189.0, 60.0, 23.0, 846.0, 30.1, 0.398, 59.0]",1
14,"[5.0, 166.0, 72.0, 19.0, 175.0, 25.8, 0.587, 51.0]",1
15,"[7.0, 100.0, 0.0, 0.0, 0.0, 30.0, 0.484, 32.0]",1
16,"[0.0, 118.0, 84.0, 47.0, 230.0, 45.8, 0.551, 31.0]",1
17,"[7.0, 107.0, 74.0, 0.0, 0.0, 29.6, 0.254, 31.0]",1
18,"[1.0, 103.0, 30.0, 38.0, 83.0, 43.3, 0.183, 33.0]",0
19,"[1.0, 115.0, 70.0, 30.0, 96.0, 34.6, 0.529, 32.0]",1
20,"[3.0, 126.0, 88.0, 41.0, 235.0, 39.3, 0.704, 27.0]",0
21,"[8.0, 99.0, 84.0, 0.0, 0.0, 35.4, 0.388, 50.0]",0
22,"[7.0, 196.0, 90.0, 0.0, 0.0, 39.8, 0.451, 41.0]",1
23,"[9.0, 119.0, 80.0, 35.0, 0.0, 29.0, 0.263, 29.0]",1
24,"[11.0, 143.0, 94.0, 33.0, 146.0, 36.6, 0.254, 51.0]",1
25,"[10.0, 125.0, 70.0, 26.0, 115.0, 31.1, 0.205, 41.0]",1
