,Multi-dimensional point data,Label
0,"[0.5804691396063525, -0.9025340443520413, 0.617899185491927, -0.9979424830480633, -2.4637988529129173, -0.8464547546069275, 2.3498493186157656, 0.3753997538878451, -0.6493335450526027, 1.6046371467312095, -0.623059799059301, -0.38312548669855306]",0.0
1,"[0.7843749306750099, -1.0773663461464773, 0.6157809015280145, -0.9219109946265961, -2.3885530948209626, -0.6380472117163889, 2.106683943494212, 0.36101776351530157, -0.7143170611837675, 1.2602355060688797, -0.4233393440081778, -0.28779120365939825]",0.0
2,"[0.7912923768458759, -1.0862421559779176, 0.6697727243488322, -0.8061117458797682, -2.260781099783224, -0.5384908461361535, 2.053282323895949, 0.2664917080250442, -0.8428152302900233, 1.0817972916585181, -0.2672010367711759, -0.17220348053705575]",0.0
3,"[1.2173056167543193, -1.0834245652670378, 0.8554827405106837, -0.7248790148657337, -2.155551906232766, -0.10187892786393458, 1.7685970408501426, 0.30315078865279216, -1.044710260653493, 0.6552895199623635, 0.2142975942096575, -0.3418396280674397]",0.0
4,"[1.06535209102792, -1.0301776881217692, 0.7732969854497233, -0.45228935124316194, -1.9559065532602427, 0.2482047130412894, 1.530473793652543, 0.2537395896348833, -0.9689606930803905, -0.2082871682528983, 0.33157758707945817, 0.007287650361176261]",0.0
5,"[0.6826188019407374, -0.9186453952016479, 0.622184589937652, -0.14785224232401983, -1.7642504015334153, 0.39977573825810386, 1.4365765516191666, -0.10389344022742161, -0.9868606214551213, -0.4028740049609195, 0.5608799159762191, 0.45414049455791033]",0.0
6,"[1.1919329022700293, -1.2009911317775988, 0.9177584576802883, -0.28282289646642966, -1.574464532863184, 0.6052245723096418, 1.149307425823339, -0.16477241851337396, -1.2967739122788466, -0.17469009044860012, 0.8886776974901031, 0.3564149287897923]",0.0
7,"[1.0854806059077478, -1.1716239345452901, 0.8793668500461518, 0.05242211640175398, -1.3042859460357985, 0.6329275772408491, 0.9869813048220114, -0.36240417560915045, -1.3650486919860845, -0.32319603457442303, 1.1075251455384567, 0.4756801548968281]",0.0
8,"[1.232799180343933, -1.2916987953360037, 0.910463502818976, 0.06311807754554498, -1.0976454398988402, 0.72753647922002, 0.7285243385916369, -0.4909880360432731, -1.4906343874419024, -0.14914475724436485, 1.2889143066164575, 0.2646403961767076]",0.0
9,"[0.897939982476361, -1.3096539520049113, 0.9973619818572863, 0.13045843456488368, -0.9254026790330991, 0.9472415447764588, 0.23844668594632476, -0.7236815992240626, -1.2982680280966292, -0.13768997709023936, 1.385274465649898, 0.36102539435434616]",0.0
