,Multi-dimensional point data,Label
0,"[0.310426428132, 0.157253973622, 0.301775965725, 0.17934252386, 0.407691613253, 0.189896325379, 0.156138706654, 0.237624254473, 0.416666666667, 0.162173546757, 0.0573601303639, 0.0946782178218, 0.0613014182726, 0.031300079567, 0.229425162321, 0.0927389070808, 0.0602777777778, 0.249100208373, 0.167698542241, 0.0485469093321, 0.255425115617, 0.192963752665, 0.245480352607, 0.129276445144, 0.480948292941, 0.145540452698, 0.19089456869, 0.442611683849, 0.278336290164, 0.115112160567]",0.0
1,"[0.288655402527, 0.202908353061, 0.289129984106, 0.159703075292, 0.495350726731, 0.330102447703, 0.107029053421, 0.154572564612, 0.458080808081, 0.382266217355, 0.0266883939888, 0.0856391442716, 0.0294963011827, 0.0146956096213, 0.0810415745997, 0.125634632139, 0.0428787878788, 0.122939950748, 0.125204029943, 0.0528654146456, 0.233724653148, 0.225746268657, 0.22750136959, 0.109442587495, 0.396420788483, 0.242852014631, 0.150958466454, 0.250274914089, 0.319140547999, 0.175718221173]",0.0
2,"[0.11940934261, 0.0923233006425, 0.114366664363, 0.0553128313892, 0.449309379796, 0.139684681921, 0.069259606373, 0.103180914513, 0.381313131313, 0.402064026959, 0.0600398334239, 0.136271216407, 0.0542807331668, 0.0166194121009, 0.268314240065, 0.0906359840178, 0.0501262626263, 0.269179768896, 0.174311926606, 0.0716250017274, 0.0818214158662, 0.0970149253731, 0.0733104238259, 0.031876720409, 0.404345242026, 0.0849026399278, 0.0708226837061, 0.213986254296, 0.174452986399, 0.148825921553]",0.0
3,"[0.286288986701, 0.294555292526, 0.26826065925, 0.16131495228, 0.335831001174, 0.0560701797436, 0.0600281162137, 0.14527833002, 0.205555555556, 0.182603201348, 0.0262176353431, 0.437986209335, 0.0194600197899, 0.0137430472284, 0.0897100316144, 0.0198801333854, 0.0339141414141, 0.220496306119, 0.264929363427, 0.0304782831005, 0.191035218783, 0.287579957356, 0.169580158374, 0.08865021628, 0.170639899624, 0.0183368745816, 0.0386022364217, 0.172268041237, 0.0831854918194, 0.0436179981635]",0.0
4,"[0.0575039045861, 0.241122759554, 0.0547301499551, 0.0247720042418, 0.301254852397, 0.122845224219, 0.0372071227741, 0.0294085487078, 0.358080808081, 0.317396798652, 0.0162230671736, 0.131829031117, 0.015878999199, 0.002620480465, 0.246626100554, 0.106708324571, 0.040101010101, 0.112085622277, 0.251280463781, 0.0582894573193, 0.0367840626112, 0.264925373134, 0.0341152447831, 0.0140090444357, 0.386515221555, 0.105179924518, 0.0549520766773, 0.0881099656357, 0.303567908535, 0.124950806769]",0.0
5,"[0.2399072365, 0.16638484951, 0.236680257066, 0.129713679745, 0.455628780356, 0.219434390528, 0.154451733833, 0.136630218688, 0.310606060606, 0.22051390059, 0.0550787615426, 0.0815947666195, 0.0514064929558, 0.0244080104894, 0.128327157766, 0.0902604620422, 0.0586363636364, 0.107217275999, 0.0900264535375, 0.0527617705181, 0.207399501957, 0.231343283582, 0.196573534539, 0.0976700747149, 0.516608333884, 0.182699304363, 0.243610223642, 0.225017182131, 0.232998225902, 0.183457956185]",0.0
6,"[0.308060012305, 0.425769360839, 0.297975260867, 0.177094379639, 0.314976979327, 0.176676277529, 0.111316776007, 0.168190854871, 0.378282828283, 0.152064026959, 0.0442875248959, 0.21941301273, 0.0460820807614, 0.0250243743906, 0.0932114083693, 0.0868807642623, 0.052904040404, 0.224284902444, 0.119997748635, 0.0366623827094, 0.256848096763, 0.527718550107, 0.241994123213, 0.126228863547, 0.297365119197, 0.139525181671, 0.182268370607, 0.440549828179, 0.257441356199, 0.0926800472255]",0.0
7,"[0.226182024705, 0.402096719648, 0.213737820469, 0.120636267232, 0.304595106978, 0.0928777375621, 0.0388238050609, 0.0554174950298, 0.219696969697, 0.187868576243, 0.106717363752, 0.187809405941, 0.088488903548, 0.0404708273098, 0.140870924975, 0.056373358969, 0.0294949494949, 0.1410304982, 0.227641132437, 0.0302018987604, 0.179651369619, 0.365138592751, 0.16220927337, 0.0814244986237, 0.246516542297, 0.0571062665541, 0.0441134185304, 0.127663230241, 0.171101912084, 0.0694608421881]",0.0
8,"[0.315159259785, 0.224213730132, 0.300048372607, 0.181675503712, 0.218651259366, 0.126403288142, 0.0435098406748, 0.0856361829026, 0.14797979798, 0.201558550969, 0.027412638059, 0.124469589816, 0.0326061348537, 0.0144714772935, 0.093959275249, 0.0714843632649, 0.0272474747475, 0.150710361811, 0.0755332920583, 0.0572184680016, 0.239772323017, 0.297707889126, 0.227451566313, 0.115881832481, 0.249158026811, 0.127009537115, 0.0838658146965, 0.295051546392, 0.153952296472, 0.165354847173]",0.0
9,"[0.234701121681, 0.288468041934, 0.220579089213, 0.124750795334, 0.270650898258, 0.0862830501196, 0.0462043111528, 0.0670477137177, 0.408080808081, 0.234625105307, 0.0419337316676, 0.0602678571429, 0.0359515619846, 0.0199253639349, 0.186864738077, 0.0460239733229, 0.0331060606061, 0.151543853002, 0.169949907131, 0.0601205035723, 0.183920313056, 0.248134328358, 0.165645699487, 0.0840542666142, 0.285478438883, 0.0599295631167, 0.0735063897764, 0.216357388316, 0.240488862606, 0.124885215794]",0.0
