Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,AutoEncoder,CD,COPOD,DIF,ECOD,GMM,KDE,LODA,QMCD,Sampling,SOS,ALAD,AnoGAN ,INNE,KPCA,LMDD,LOCI,LSCP,LUNAR,MO_GAAL,RGraph,SO_GAAL,SOD,VAE
arrhythmia,452,274,14.6018,0.38076000000000004,0.4585699999999999,0.42641,0.51108,0.49556999999999995,0.44636999999999993,0.4334300000000001,0.39952,0.4614,0.46129,0.41970999999999997,0.0,0.46495,0.47433,0.49446,0.36323000000000005,0.41471,0.43984999999999996,0.049729999999999996,0.45327,0.30998000000000003,0.0,0.0,0.36761000000000005,0.42781,0.47909000000000007,0.0,0.48439,0.31001,0.0,0.0,0.36889,0.0,0.0
cardio,1831,21,9.6122,0.23742999999999997,0.40406000000000003,0.16194,0.44761000000000006,0.49265,0.33227,0.15409,0.43043000000000003,0.50112,0.609,0.37847,0.41884000000000005,0.53687,0.6144000000000001,0.5457700000000001,0.45156999999999997,0.27362000000000003,0.43045,0.50086,0.4677999999999999,0.14051000000000002,0.0,0.0,0.38051,0.31983,0.43345,0.0,0.25598,0.33255999999999997,0.0,0.0,0.30310999999999994,0.0,0.0
glass,214,9,4.2056,0.17023,0.07261999999999999,0.18095,0.0,0.10594999999999999,0.07261999999999999,0.14762,0.025,0.17262,0.07261999999999999,0.15594999999999998,0.12261999999999999,0.07261999999999999,0.24522999999999998,0.20595,0.17262,0.17262,0.025,0.025,0.10594999999999999,0.23928,0.0,0.0,0.20595,0.17262,0.07261999999999999,0.0,0.14762,0.0,0.0,0.0,0.15594999999999998,0.0,0.0
ionosphere,351,33,35.8974,0.84415,0.8134600000000001,0.7093700000000002,0.32951,0.64698,0.86021,0.7063400000000001,0.8806499999999999,0.7000499999999998,0.5728599999999999,0.7146800000000001,0.8447799999999999,0.56287,0.7875099999999999,0.51387,0.85226,0.8648100000000001,0.71319,0.41784999999999994,0.75755,0.6650400000000001,0.0,0.0,0.76081,0.8687000000000001,0.55983,0.0,0.8628600000000001,0.5791,0.0,0.0,0.7865500000000002,0.0,0.0
letter,1600,32,6.25,0.38009,0.22858,0.38184,0.07152,0.08813,0.33117,0.36411,0.19273999999999997,0.15096,0.08746999999999999,0.28865999999999997,0.27525999999999995,0.03683,0.16262,0.08904,0.29725000000000007,0.41737,0.10225999999999999,0.11845999999999998,0.16158999999999998,0.42885,0.0,0.0,0.23424,0.3634,0.08878,0.0,0.42205000000000004,0.10539000000000001,0.0,0.0,0.41620999999999997,0.0,0.0
lympho,148,18,4.0541,0.44833999999999996,0.75167,0.75167,0.8466699999999999,0.8766700000000001,0.75167,0.75167,0.44833999999999996,0.75167,0.75167,0.75167,0.29167,0.79667,0.6883299999999999,0.79667,0.64834,0.6183299999999999,0.43165999999999993,0.17332999999999998,0.80167,0.25833,0.0,0.0,0.41834,0.6183299999999999,0.79834,0.0,0.6683299999999999,0.17332999999999998,0.0,0.0,0.49833999999999995,0.0,0.0
mnist,7603,100,9.2069,0.35550000000000004,0.3953,0.33338,0.11882000000000001,0.30436,0.42042999999999997,0.33429000000000003,0.32133,0.39619,0.38460999999999995,0.37344000000000005,0.1536,0.23819999999999997,0.45736,0.18249,0.39078,0.37636,0.33729000000000003,0.17887,0.39403,0.15399,0.0,0.0,0.39781,0.4051600000000001,0.2644000000000001,0.0,0.35859,0.16896,0.0,0.0,0.33967,0.0,0.0
musk,3062,166,3.1679,0.050749999999999997,1.0,0.20373999999999998,0.9783199999999999,0.9854900000000001,0.2733,0.16954999999999998,0.98378,1.0,0.97994,0.31725,0.42475000000000007,0.34767,0.62775,0.46912000000000004,0.76602,0.12333000000000001,0.32001999999999997,0.69581,0.74071,0.042109999999999995,0.0,0.0,0.99443,0.20093999999999998,0.83667,0.0,0.11652999999999998,0.21476,0.0,0.0,0.16380999999999996,0.0,0.0
optdigits,5216,64,2.8758,0.006019999999999999,0.0,0.023719999999999998,0.21939999999999998,0.028399999999999998,0.0,0.023350000000000003,0.0,0.0,0.0,0.0,0.00471,0.010589999999999999,0.01965,0.0014500000000000001,0.0,0.0,0.0,0.0,0.0,0.04734000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02731,0.02054,0.0,0.0,0.007090000000000001,0.0,0.0
pendigits,6870,16,2.2707,0.08124999999999999,0.23104999999999998,0.0658,0.29793000000000003,0.35816000000000003,0.09844,0.06528999999999999,0.08928,0.32866000000000006,0.31865000000000004,0.05608,0.02181,0.27415999999999996,0.32224,0.3545,0.050019999999999995,0.12423,0.39934000000000003,0.17589,0.19923,0.03913,0.0,0.0,0.15775,0.11564,0.20180000000000003,0.0,0.06629,0.14783000000000002,0.0,0.0,0.07569999999999999,0.0,0.0
