Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,AutoEncoder,CD,COPOD,DIF,ECOD,GMM,KDE,LODA,QMCD,Sampling,SOS,ALAD,AnoGAN ,INNE,KPCA,LMDD,LOCI,LSCP,LUNAR,MO_GAAL,RGraph,SO_GAAL,SOD,VAE
arrhythmia,452,274,14.6018,0.76875,0.7776599999999999,0.77708,0.8219299999999998,0.8013200000000001,0.7861,0.77866,0.77897,0.7811600000000001,0.78148,0.77394,0.5,0.8133800000000001,0.8010200000000001,0.81724,0.7668699999999999,0.72754,0.7470399999999999,0.19519999999999998,0.77782,0.6543300000000001,0.0,0.0,0.7621499999999999,0.78246,0.73205,0.0,0.79351,0.6429400000000001,0.0,0.0,0.7348100000000001,0.0,0.0
cardio,1831,21,9.6122,0.56917,0.8008,0.5859300000000001,0.8351,0.9183399999999999,0.7236299999999999,0.5735699999999999,0.80575,0.9348400000000001,0.95038,0.81655,0.88407,0.9213899999999999,0.9396300000000002,0.9363900000000001,0.89788,0.7348199999999998,0.8574999999999999,0.8554999999999999,0.7883900000000001,0.5439999999999999,0.0,0.0,0.9094499999999999,0.69286,0.88445,0.0,0.55918,0.69183,0.0,0.0,0.65087,0.0,0.0
glass,214,9,4.2056,0.7950699999999999,0.84946,0.84236,0.73887,0.75034,0.85076,0.8644000000000001,0.7892300000000001,0.63236,0.6747,0.6753899999999999,0.6247299999999998,0.7083,0.8342600000000001,0.6846599999999999,0.6843600000000001,0.8181499999999999,0.5885800000000001,0.75091,0.76679,0.66068,0.0,0.0,0.7801199999999999,0.8091999999999999,0.60212,0.0,0.81817,0.3577,0.0,0.0,0.77385,0.0,0.0
ionosphere,351,33,35.8974,0.9247599999999998,0.9114600000000002,0.87418,0.56144,0.8528400000000002,0.92674,0.8753499999999999,0.9560699999999999,0.8419199999999998,0.7962,0.89588,0.9462900000000001,0.79921,0.91275,0.73612,0.9371900000000002,0.94246,0.8544,0.65536,0.8956999999999999,0.77379,0.0,0.0,0.89194,0.9397699999999999,0.74201,0.0,0.9307400000000001,0.7526300000000001,0.0,0.0,0.8914500000000001,0.0,0.0
letter,1600,32,6.25,0.8782500000000001,0.7834,0.87196,0.5926800000000001,0.63799,0.8765599999999999,0.8593500000000001,0.80752,0.61182,0.5283,0.81351,0.7928900000000001,0.5619400000000001,0.6579499999999999,0.5804900000000002,0.80792,0.91446,0.5381600000000001,0.61883,0.69702,0.819,0.0,0.0,0.70761,0.9001399999999998,0.51751,0.0,0.9104800000000001,0.44969000000000003,0.0,0.0,0.87865,0.0,0.0
lympho,148,18,4.0541,0.9109700000000001,0.9636100000000001,0.9738200000000001,0.9956900000000001,0.9932399999999999,0.9744999999999999,0.9770900000000001,0.8955399999999999,0.9758699999999999,0.98467,0.9854900000000001,0.80458,0.99483,0.9252900000000001,0.9957800000000001,0.9291500000000001,0.9460000000000001,0.9020699999999999,0.72051,0.97879,0.6925100000000001,0.0,0.0,0.9615500000000001,0.9600200000000001,0.9649300000000001,0.0,0.9628499999999999,0.5733900000000001,0.0,0.0,0.8795999999999999,0.0,0.0
mnist,7603,100,9.2069,0.7815300000000001,0.8454899999999999,0.71921,0.5741900000000001,0.80798,0.84813,0.7160799999999998,0.86194,0.85289,0.85266,0.8644699999999998,0.57191,0.7736000000000001,0.88221,0.74576,0.84496,0.8065200000000001,0.78223,0.6069599999999999,0.82771,0.5512900000000001,0.0,0.0,0.8606399999999998,0.8506900000000002,0.7508400000000001,0.0,0.75411,0.55292,0.0,0.0,0.69737,0.0,0.0
musk,3062,166,3.1679,0.18444,1.0,0.53453,0.9999800000000001,0.9998400000000001,0.79857,0.52867,0.99985,1.0,0.9999500000000001,0.81267,0.89609,0.94277,0.97875,0.9530699999999998,0.9942699999999999,0.22782999999999998,0.9140600000000001,0.8650100000000001,0.9238600000000001,0.45576,0.0,0.0,0.9999399999999999,0.30247999999999997,0.9970100000000001,0.0,0.49555,0.77376,0.0,0.0,0.7891999999999999,0.0,0.0
optdigits,5216,64,2.8758,0.46674000000000004,0.7754300000000001,0.43829,0.8732499999999999,0.7021299999999999,0.37076000000000003,0.45004,0.39349999999999996,0.49971999999999994,0.50856,0.5980399999999999,0.45829,0.6798,0.6534699999999999,0.5995,0.49415999999999993,0.36500999999999995,0.30789000000000005,0.17134,0.69374,0.51183,0.0,0.0,0.6386200000000001,0.47084000000000004,0.46641000000000005,0.0,0.4606800000000001,0.41091,0.0,0.0,0.4982100000000001,0.0,0.0
pendigits,6870,16,2.2707,0.68776,0.8868,0.4558999999999999,0.9238100000000001,0.9498199999999999,0.7486499999999999,0.46975,0.8343400000000001,0.9303100000000001,0.9352499999999999,0.78208,0.64196,0.90528,0.9524000000000001,0.92677,0.76433,0.8866299999999999,0.9466999999999999,0.89467,0.80174,0.51081,0.0,0.0,0.9007699999999998,0.84419,0.9122300000000001,0.0,0.66124,0.8551399999999999,0.0,0.0,0.69563,0.0,0.0
pima,768,8,34.8958,0.6793800000000001,0.65504,0.62111,0.6999500000000001,0.6799999999999999,0.7078099999999999,0.62705,0.6757299999999999,0.6215,0.6481100000000001,0.66553,0.66875,0.6491900000000002,0.6089100000000001,0.5912000000000001,0.6704000000000001,0.7183400000000001,0.6045300000000001,0.69863,0.6751500000000001,0.51967,0.0,0.0,0.6787100000000001,0.70132,0.5781399999999999,0.0,0.6993699999999998,0.26725,0.0,0.0,0.59719,0.0,0.0
satellite,6435,36,31.6395,0.5713699999999999,0.7496,0.55725,0.7581100000000001,0.6928599999999999,0.6836399999999999,0.55727,0.80305,0.6622399999999999,0.59884,0.6628399999999999,0.6076000000000001,0.6328100000000001,0.7413799999999999,0.58146,0.63689,0.75921,0.6017599999999999,0.75793,0.69852,0.47332,0.0,0.0,0.74126,0.7285999999999999,0.43794000000000005,0.0,0.61721,0.6583000000000001,0.0,0.0,0.6282099999999999,0.0,0.0
satimage-2,5803,36,1.2235,0.81896,0.9991899999999999,0.45891000000000004,0.98042,0.99393,0.9536000000000001,0.4577400000000001,0.9959199999999999,0.9978000000000001,0.9821799999999999,0.92852,0.95598,0.97843,0.99695,0.9699899999999999,0.9839800000000001,0.9648900000000001,0.9861600000000001,0.9961,0.9754099999999999,0.51335,0.0,0.0,0.9977400000000001,0.96538,0.5538299999999999,0.0,0.8476699999999999,0.93825,0.0,0.0,0.8092099999999999,0.0,0.0
shuttle,49097,9,7.1511,0.6234499999999998,0.6120800000000001,0.47583000000000003,0.98546,0.9970700000000001,0.6537399999999999,0.5263899999999999,0.99038,0.9917200000000002,0.9898000000000001,0.9897600000000001,0.83797,0.99443,0.9607299999999999,0.99293,0.9824999999999999,0.9857800000000001,0.83525,0.9900500000000001,0.87729,0.4988499999999999,0.0,0.0,0.98833,0.8827900000000002,0.9855600000000001,0.0,0.6360100000000001,0.7980499999999999,0.0,0.0,0.7093900000000001,0.0,0.0
vertebral,240,6,12.5,0.42615,0.44523999999999997,0.4029,0.32625,0.38873,0.38166,0.4081099999999999,0.40472,0.44308000000000003,0.40269000000000005,0.48190999999999995,0.48946000000000006,0.35797,0.51454,0.44300999999999996,0.41746,0.34631,0.32759,0.3487,0.3933000000000001,0.5302,0.0,0.0,0.42306,0.37615,0.4059000000000001,0.0,0.36950999999999995,0.6234599999999999,0.0,0.0,0.4937,0.0,0.0
