dataset,PCA,OCSVM,LOF,CBLOF,COF,HBOS,KNN,SOD,COPOD,ECOD,DeepSVDD,DAGMM,LODA,IForest
ALOI,0.0417,0.0502,0.0808,0.0446,0.0685,0.0369,0.0602,0.0597,0.0362,0.039,0.0401,0.0433,0.0453,0.039
annthyroid,0.1612,0.1037,0.1571,0.1369,0.1439,0.1699,0.1674,0.1884,0.1658,0.2465,0.2195,0.0964,0.0706,0.3047
backdoor,0.3129,0.0969,0.2614,0.0696,0.2468,0.0491,0.4522,0.3941,0.0769,0.1125,0.1285,0.065,0.1451,0.0475
breastw,0.9511,0.827,0.2855,0.9154,0.276,0.9771,0.9219,0.8488,0.994,0.9854,0.5092,,0.9704,0.9604
campaign,0.279,0.2922,0.1451,0.2399,0.1301,0.3799,0.2718,0.1888,0.3858,0.374,0.116,0.1462,0.1347,0.3226
cardio,0.6606,0.6289,0.2379,0.6195,0.2867,0.521,0.4072,0.2854,0.6042,0.6859,0.225,0.2892,0.5341,0.5995
Cardiotocography,0.4795,0.5261,0.3066,0.4544,0.2821,0.3828,0.3479,0.2799,0.4046,0.4357,0.3403,0.3061,0.48,0.4147
celeba,0.1589,0.1073,0.0171,0.1133,0.0177,0.1382,0.0314,0.0266,0.1369,0.1237,0.0234,0.0195,0.0404,0.0896
census,0.1002,0.0676,0.0545,0.0744,0.0488,0.0869,0.09,0.0852,0.0992,0.0972,0.0687,0.0871,0.0501,0.0778
cover,0.098,0.1141,0.0812,0.0583,0.04,0.0683,0.0616,0.0388,0.1137,0.1563,0.0812,0.2759,0.1306,0.0885
donors,0.179,0.0986,0.0788,0.0689,0.088,0.2336,0.1475,0.0969,0.2158,0.1417,0.0638,0.1053,0.0378,0.1274
fault,0.3276,0.3844,0.3838,0.4398,0.4156,0.3647,0.5445,0.4801,0.3054,0.3082,0.3915,0.3348,0.3103,0.4109
fraud,0.2291,0.4758,0.474,0.4752,0.2286,0.2589,0.473,0.3137,0.4282,0.4299,0.0897,0.2132,0.4637,0.2167
glass,0.1005,0.0802,0.2011,0.1384,0.1181,0.1182,0.2026,0.1873,0.0978,0.1843,0.0872,0.2458,0.1337,0.1099
Hepatitis,0.3665,0.2944,0.1369,0.3154,0.1439,0.3773,0.2195,0.2489,0.415,0.3782,0.2217,0.2296,0.309,0.2625
http,0.5643,0.4686,0.0382,0.4753,0.0957,0.4479,0.007,0.0832,0.3519,0.1661,0.293,,0.0067,0.9083
InternetAds,0.3255,0.5468,0.4049,0.5813,0.3867,0.5397,0.4323,0.2769,0.5097,0.5107,0.2791,,0.2389,0.486
Ionosphere,0.7392,0.7454,0.8806,0.9027,0.8291,0.4178,0.9041,0.8587,0.6989,0.6599,0.4179,0.6498,0.7304,0.8041
landsat,0.1618,0.1621,0.2469,0.3097,0.2495,0.2203,0.2465,0.2638,0.1748,0.2517,0.3883,0.2448,0.1886,0.1981
letter,0.0686,0.061,0.3402,0.148,0.2143,0.0838,0.3,0.2863,0.0677,0.0694,0.0929,0.1168,0.0687,0.0849
Lymphography,0.9702,0.9359,0.2308,0.9762,0.3668,0.9183,0.3869,0.2265,0.8868,0.9087,0.0458,0.1952,0.4454,0.9731
magic.gamma,0.5927,0.5143,0.5476,0.6885,0.5412,0.6241,0.7563,0.6789,0.5918,0.5438,0.4917,0.4692,0.5849,0.6472
mammography,0.1925,0.1294,0.098,0.1114,0.1114,0.2131,0.1591,0.1341,0.4067,0.4128,0.0626,,0.1475,0.2067
mnist,0.3993,0.332,0.209,0.2882,0.2551,0.1251,0.3553,0.1915,0.2135,0.3193,0.1972,0.2375,0.2586,0.2771
musk,0.9989,0.1061,0.0282,1.0,0.0261,1.0,0.0965,0.0759,0.3479,0.3495,0.0539,0.3275,0.476,0.9961
optdigits,0.0276,0.0292,0.0606,0.1008,0.0442,0.1003,0.0306,0.0439,0.0436,0.0343,0.025,0.0559,0.0395,0.0509
PageBlocks,0.5171,0.4914,0.3964,0.4965,0.4102,0.3332,0.4539,0.3783,0.3765,0.493,0.3145,0.5325,0.5129,0.4604
pendigits,0.2365,0.2352,0.0378,0.1727,0.0289,0.2927,0.065,0.0446,0.2122,0.2307,0.0245,0.0467,0.1871,0.2605
Pima,0.5403,0.5,0.4718,0.5319,0.447,0.5661,0.5514,0.4824,0.5519,0.373,0.3587,0.4155,0.4409,0.5582
satellite,0.5964,0.5761,0.3768,0.6148,0.397,0.6725,0.5001,0.4723,0.5658,0.6594,0.4011,0.5833,0.6194,0.6592
satimage-2,0.8569,0.8271,0.0429,0.9709,0.088,0.7804,0.3914,0.2611,0.7655,0.6325,0.0308,0.2207,0.8052,0.9345
shuttle,0.9235,0.8529,0.1376,0.6098,0.1217,0.964,0.2038,0.2027,0.9656,0.9576,0.1586,0.932,0.4875,0.9762
skin,0.174,0.1903,0.1825,0.2982,0.1638,0.237,0.2872,0.2461,0.1799,0.1596,0.1848,,0.1844,0.2608
smtp,0.667,0.189,0.2069,0.2668,0.6113,0.352,0.667,0.3336,0.0108,0.5001,0.5002,0.5003,0.3577,0.0124
SpamBase,0.4157,0.4012,0.3516,0.4118,0.3473,0.5003,0.4142,0.4003,0.5668,0.5395,0.4223,,0.3588,0.5175
speech,0.0197,0.0196,0.0252,0.0199,0.0225,0.0209,0.0202,0.0213,0.0194,0.0177,0.0512,0.0203,0.0179,0.0231
Stamps,0.4109,0.3139,0.2129,0.2366,0.165,0.3524,0.2353,0.2028,0.431,0.3817,0.114,0.4372,0.346,0.3949
thyroid,0.4434,0.2123,0.2081,0.2995,0.285,0.5098,0.3498,0.2356,0.1964,0.5405,0.025,0.1606,0.1468,0.6311
vertebral,0.1049,0.1094,0.1424,0.1158,0.1385,0.0923,0.1057,0.1179,0.0889,0.1124,0.1049,0.1524,0.0968,0.1046
vowels,0.0892,0.0824,0.3442,0.2212,0.5596,0.1341,0.6341,0.3888,0.0414,0.0392,0.0499,0.1222,0.1382,0.1512
Waveform,0.0579,0.0437,0.1133,0.1898,0.1411,0.0586,0.1304,0.0966,0.069,0.0686,0.0483,0.0311,0.0471,0.0624
WBC,0.8229,0.8987,0.0557,0.9227,0.0973,0.7356,0.6655,0.54,0.8619,0.8619,0.0638,,0.7867,0.9049
WDBC,0.7546,0.7188,0.1493,0.7962,0.5052,0.8898,0.4372,0.356,0.8478,0.5791,0.0657,0.1848,0.6611,0.7853
Wilt,0.0313,0.0362,0.0505,0.0364,0.0498,0.0384,0.0473,0.0553,0.0369,0.0414,0.0467,0.04,0.0336,0.0423
wine,0.3087,0.2156,0.0777,0.0583,0.0845,0.4308,0.0843,0.0795,0.4571,0.1837,0.2114,0.1751,0.4882,0.2596
WPBC,0.2301,0.2293,0.2029,0.2132,0.213,0.2304,0.2149,0.2537,0.2281,0.2138,0.2624,0.2249,0.2558,0.2242
yeast,0.299,0.2984,0.3164,0.3093,0.3127,0.3275,0.2933,0.2996,0.3071,0.3136,0.3303,0.2992,0.3329,0.298
CIFAR10,0.1059,0.1019,0.1302,0.1061,0.1161,0.0838,0.1113,0.1106,0.0877,0.0929,0.0805,0.0773,0.0972,0.0897
FashionMNIST,0.3142,0.3197,0.1685,0.389,0.2073,0.2943,0.3387,0.2872,0.3032,0.3253,0.1743,0.1444,0.2732,0.3235
MNIST-C,0.1688,0.1772,0.1384,0.2762,0.1453,0.1546,0.2298,0.1568,0.159,0.1824,0.0834,0.1137,0.1863,0.1799
MVTec-AD,0.5406,0.5144,0.549,0.5852,0.4659,0.5522,0.5555,0.5148,0.5464,0.5544,0.365,0.4566,0.4973,0.5604
SVHN,0.0866,0.0865,0.0924,0.0858,0.0897,0.0745,0.0946,0.0852,0.0761,0.0782,0.0699,0.0729,0.087,0.081
Agnews,0.0574,0.0569,0.1435,0.0702,0.1221,0.0558,0.0861,0.084,0.0543,0.0543,0.0445,0.0541,0.0593,0.0604
Amazon,0.0585,0.0564,0.0572,0.0607,0.0574,0.0598,0.0623,0.064,0.0608,0.0606,0.0384,0.0565,0.0592,0.0595
Imdb,0.0455,0.0444,0.0483,0.0475,0.0516,0.0474,0.0449,0.047,0.049,0.049,0.0506,0.0465,0.0459,0.0474
Yelp,0.0762,0.0775,0.0852,0.0768,0.0868,0.0781,0.0985,0.092,0.0801,0.0798,0.0639,0.0672,0.0765,0.0788
20news,0.0797,0.0753,0.0913,0.0781,0.0902,0.078,0.0854,0.0819,0.0795,0.0792,0.0782,0.0668,0.0737,0.0729
