dataset,PCA,OCSVM,LOF,CBLOF,COF,HBOS,KNN,SOD,COPOD,ECOD,DeepSVDD,DAGMM,LODA,IForest
ALOI,0.5665,0.5585,0.6663,0.5522,0.6468,0.5263,0.6147,0.6109,0.5375,0.566,0.5029,0.5196,0.5133,0.5666
annthyroid,0.6625,0.5723,0.702,0.6226,0.6592,0.6015,0.7169,0.7738,0.768,0.7803,0.7662,0.5653,0.4102,0.8201
backdoor,0.8013,0.862,0.8568,0.8116,0.7303,0.7143,0.8082,0.6954,0.8097,0.8633,0.5516,0.5626,0.6922,0.7215
breastw,0.9513,0.803,0.4061,0.9681,0.3884,0.9894,0.9701,0.9397,0.9968,0.9917,0.6566,,0.9849,0.9832
campaign,0.7278,0.6552,0.5885,0.6661,0.5726,0.7861,0.721,0.6904,0.7769,0.7678,0.487,0.5608,0.5143,0.7171
cardio,0.9555,0.9391,0.6633,0.8993,0.7141,0.8467,0.7664,0.7325,0.9235,0.9444,0.5896,0.7501,0.9034,0.9319
Cardiotocography,0.7467,0.7786,0.5951,0.6454,0.5377,0.6086,0.5623,0.5169,0.6702,0.6892,0.5353,0.6201,0.7365,0.6757
celeba,0.7938,0.707,0.3855,0.7399,0.3858,0.7618,0.5963,0.4785,0.7568,0.7282,0.5036,0.4474,0.6011,0.7041
census,0.6874,0.5458,0.4719,0.5941,0.4135,0.6494,0.6675,0.6231,0.6907,0.6844,0.5107,0.5929,0.3686,0.5952
cover,0.9373,0.9262,0.8458,0.893,0.7691,0.8024,0.8597,0.7446,0.8864,0.9342,0.462,0.8989,0.9234,0.8674
donors,0.8315,0.7193,0.5549,0.6044,0.7054,0.7823,0.8109,0.5521,0.8176,0.7445,0.5027,0.7057,0.2486,0.7768
fault,0.4602,0.4769,0.5893,0.6406,0.621,0.5128,0.7298,0.6811,0.4388,0.4341,0.5167,0.4586,0.4171,0.5702
fraud,0.9035,0.9062,0.9492,0.917,0.9305,0.9029,0.9356,0.9497,0.8832,0.8985,0.6498,0.8953,0.8899,0.9038
glass,0.6629,0.3536,0.692,0.8294,0.7224,0.7723,0.8229,0.7336,0.7243,0.757,0.4749,0.7609,0.7313,0.7713
Hepatitis,0.7595,0.6775,0.3802,0.664,0.4145,0.7985,0.5276,0.6817,0.8205,0.7967,0.5096,0.548,0.6487,0.6975
http,0.9972,0.9959,0.2746,0.996,0.8878,0.9953,0.0337,0.7804,0.9929,0.981,0.6905,,0.1248,0.9996
InternetAds,0.6167,0.6828,0.6583,0.7058,0.6379,0.6803,0.6999,0.6185,0.6705,0.671,0.602,,0.5538,0.6901
Ionosphere,0.7919,0.7592,0.9059,0.9072,0.8676,0.6249,0.8826,0.8641,0.7934,0.7559,0.5089,0.7341,0.7842,0.845
landsat,0.3576,0.3615,0.539,0.6355,0.535,0.5514,0.5795,0.5954,0.4155,0.5661,0.6361,0.4392,0.3817,0.4764
letter,0.5029,0.4618,0.8449,0.7562,0.8003,0.5974,0.8619,0.8409,0.5432,0.5076,0.5664,0.5042,0.5024,0.6107
Lymphography,0.9982,0.9954,0.8986,0.9983,0.9085,0.9949,0.5591,0.7249,0.9948,0.9952,0.3229,0.7211,0.8555,0.9981
magic.gamma,0.6722,0.6065,0.6851,0.7513,0.6664,0.7086,0.8238,0.754,0.6833,0.6436,0.6026,0.5858,0.6802,0.7325
mammography,0.8872,0.8495,0.7439,0.8374,0.7753,0.8627,0.8453,0.8151,0.9069,0.9075,0.5698,,0.8391,0.8639
mnist,0.8529,0.8295,0.6713,0.7945,0.7078,0.6042,0.8058,0.601,0.7774,0.846,0.534,0.6723,0.7227,0.8098
musk,1.0,0.8058,0.4118,1.0,0.3869,1.0,0.6989,0.7409,0.942,0.9511,0.4352,0.7685,0.9511,0.9999
optdigits,0.5165,0.54,0.561,0.8751,0.4915,0.8163,0.4173,0.5892,0.6871,0.6104,0.3889,0.6257,0.6174,0.7092
PageBlocks,0.9064,0.8876,0.759,0.8504,0.7265,0.8058,0.8194,0.7775,0.8805,0.9092,0.5777,0.8961,0.8334,0.8957
pendigits,0.9373,0.9375,0.4799,0.904,0.4507,0.9304,0.7295,0.6629,0.9068,0.9122,0.3992,0.6422,0.891,0.9476
Pima,0.7077,0.6692,0.6571,0.7142,0.6105,0.7107,0.7343,0.6125,0.691,0.5154,0.5103,0.5592,0.6593,0.7287
satellite,0.5962,0.5902,0.5588,0.7132,0.5474,0.748,0.6518,0.6396,0.632,0.7506,0.553,0.6233,0.6198,0.7043
satimage-2,0.9762,0.9735,0.4736,0.9984,0.567,0.9765,0.926,0.8308,0.9721,0.9711,0.5314,0.9629,0.9756,0.9916
shuttle,0.9862,0.974,0.5711,0.8348,0.5172,0.9863,0.6964,0.6951,0.9935,0.994,0.5205,0.9792,0.6095,0.9956
skin,0.4526,0.4945,0.4647,0.6949,0.4166,0.6015,0.7146,0.6035,0.4755,0.3909,0.4405,,0.4575,0.6821
smtp,0.8841,0.807,0.7184,0.7968,0.796,0.7052,0.8962,0.5985,0.7909,0.7186,0.7824,0.7132,0.6743,0.8973
SpamBase,0.5466,0.5247,0.4333,0.5497,0.4096,0.6474,0.5335,0.5235,0.7009,0.6689,0.5355,,0.4199,0.6476
speech,0.5079,0.5019,0.5248,0.5058,0.5597,0.5059,0.5103,0.5586,0.5289,0.5158,0.5343,0.5275,0.4984,0.5074
Stamps,0.9147,0.8386,0.5126,0.6818,0.5381,0.9073,0.6861,0.7326,0.934,0.9141,0.5584,0.8888,0.8718,0.9121
thyroid,0.9634,0.8792,0.8686,0.9473,0.9087,0.9562,0.9593,0.9281,0.943,0.9778,0.4964,0.7975,0.743,0.983
vertebral,0.3706,0.3799,0.4929,0.4141,0.4871,0.2856,0.3379,0.4032,0.2564,0.3751,0.3667,0.532,0.3057,0.3666
vowels,0.6529,0.6159,0.9312,0.8992,0.9404,0.7221,0.9726,0.9265,0.5315,0.4581,0.5249,0.6058,0.7036,0.7394
Waveform,0.6548,0.5629,0.7332,0.7242,0.7256,0.6877,0.7378,0.6857,0.7503,0.7325,0.5447,0.4935,0.6013,0.7147
WBC,0.982,0.9903,0.5417,0.9946,0.609,0.9872,0.9056,0.946,0.9911,0.9911,0.555,,0.9691,0.9901
WDBC,0.9905,0.9886,0.89,0.9932,0.9626,0.995,0.9172,0.919,0.9942,0.972,0.6569,0.7667,0.9826,0.9895
Wilt,0.2039,0.3128,0.5065,0.3254,0.4966,0.3249,0.4842,0.5325,0.334,0.3943,0.4608,0.3729,0.2642,0.4194
wine,0.8437,0.7307,0.3774,0.2586,0.4444,0.9136,0.4498,0.4611,0.8865,0.7134,0.5952,0.617,0.9012,0.8037
WPBC,0.4601,0.4535,0.4141,0.4477,0.4588,0.5124,0.4659,0.5114,0.4934,0.4683,0.4979,0.478,0.4931,0.4663
yeast,0.4115,0.41,0.4531,0.4485,0.4448,0.3964,0.3906,0.4246,0.3699,0.3961,0.4792,0.4111,0.4458,0.3776
CIFAR10,0.6387,0.6376,0.6857,0.6423,0.647,0.575,0.6475,0.6422,0.5864,0.6104,0.5604,0.5808,0.6234,0.6128
FashionMNIST,0.8609,0.8524,0.6757,0.8817,0.7144,0.7868,0.866,0.8173,0.8107,0.8363,0.6332,0.6729,0.8028,0.8489
MNIST-C,0.7375,0.7221,0.6827,0.8086,0.6981,0.7082,0.8126,0.74,0.7126,0.7264,0.5185,0.5856,0.7437,0.7374
MVTec-AD,0.7242,0.6984,0.7419,0.7598,0.697,0.7336,0.7296,0.7157,0.7291,0.7346,0.571,0.6647,0.6851,0.7319
SVHN,0.6053,0.6073,0.6451,0.603,0.6347,0.5608,0.6263,0.6109,0.5675,0.5827,0.5347,0.5722,0.5826,0.5862
Agnews,0.547,0.5434,0.718,0.6002,0.6897,0.5387,0.6411,0.6281,0.5298,0.5304,0.4251,0.5202,0.5547,0.5674
Amazon,0.5506,0.5414,0.5611,0.5736,0.5696,0.5652,0.6003,0.6005,0.5694,0.5679,0.3908,0.5358,0.542,0.5613
Imdb,0.4706,0.4607,0.4871,0.4935,0.4964,0.491,0.4783,0.4986,0.5068,0.5073,0.5073,0.4767,0.4643,0.4909
Yelp,0.6071,0.6028,0.6709,0.649,0.6611,0.6185,0.6984,0.6774,0.6236,0.6215,0.5462,0.5628,0.6136,0.6253
20news,0.5666,0.5645,0.6214,0.5759,0.618,0.5628,0.5933,0.5856,0.5579,0.56,0.5024,0.5417,0.5553,0.569
