method,AGNews,BBCNews,EmailSpam,Emotion,MovieReview,N24News,SMSSpam,YelpReview
CVDD,0.1296,0.2976,0.5353,0.0955,0.1576,0.2886,0.0712,0.1711
DATE,0.3996,0.5764,0.8885,0.1619,0.1682,0.2794,0.6112,0.2149
FATE*,0.2787,0.5805,0.5529,0.1026,0.1752,0.2777,0.1257,0.2112
BERT+LOF,0.2549,0.6029,0.2370,0.1170,0.1621,0.1678,0.1837,0.2629
BERT+DeepSVDD,0.2160,0.1328,0.2117,0.0986,0.1387,0.0798,0.1178,0.2174
BERT+ECOD,0.1616,0.2037,0.2077,0.1024,0.1374,0.0928,0.1156,0.2197
BERT+iForest,0.1559,0.2131,0.1894,0.1007,0.1412,0.0872,0.0994,0.2203
BERT+SO-GAAL,0.1033,0.0849,0.1130,0.1036,0.1486,0.0837,0.0714,0.2440
BERT+AE,0.2232,0.4274,0.2937,0.1037,0.1479,0.1255,0.1914,0.2525
BERT+VAE,0.1878,0.2559,0.2247,0.1019,0.1405,0.0957,0.1360,0.2331
BERT+LUNAR,0.2717,0.5943,0.3571,0.1053,0.1497,0.1436,0.1817,0.2609
OpenAI+LOF,0.5443,0.7714,0.5967,0.2290,0.2133,0.2248,0.2450,0.5710
OpenAI+DeepSVDD,0.1062,0.1288,0.1195,0.1040,0.3278,0.1297,0.0721,0.1893
OpenAI+ECOD,0.3294,0.2424,0.5597,0.7443,0.5165,0.2238,0.0821,0.8639
OpenAI+iForest,0.1278,0.1376,0.3283,0.1311,0.1724,0.0913,0.0772,0.2527
OpenAI+SO-GAAL,0.1538,0.0665,0.1096,0.1291,0.3005,0.0963,0.1213,0.2735
OpenAI+AE,0.4022,0.7485,0.5580,0.8355,0.1969,0.1984,0.1030,0.7063
OpenAI+VAE,0.3659,0.2424,0.5604,0.7744,0.1486,0.2537,0.0812,0.8467
OpenAI+LUNAR,0.6918,0.8653,0.5810,0.3112,0.2193,0.4425,0.1640,0.4524
