method,AGNews,BBCNews,EmailSpam,Emotion,MovieReview,N24News,SMSSpam,YelpReview
CVDD,0.6046,0.7221,0.9340,0.4867,0.4895,0.7507,0.4782,0.5345
DATE,0.8120,0.9030,0.9697,0.6291,0.5185,0.7493,0.9398,0.6092
FATE*,0.7756,0.9310,0.9061,0.5035,0.5289,0.8073,0.6262,0.5945
BERT+LOF,0.7432,0.9320,0.7482,0.5435,0.4959,0.6703,0.7190,0.6573
BERT+DeepSVDD,0.6671,0.5683,0.6937,0.5142,0.4287,0.4366,0.5859,0.5871
BERT+ECOD,0.6318,0.6912,0.7052,0.5889,0.4282,0.4969,0.5606,0.6326
BERT+iForest,0.6124,0.6847,0.6779,0.4944,0.4420,0.4724,0.5053,0.5971
BERT+SO-GAAL,0.4489,0.3099,0.4440,0.5031,0.4663,0.4135,0.3328,0.4712
BERT+AE,0.7200,0.8839,0.4739,0.5594,0.4650,0.5749,0.6918,0.6441
BERT+VAE,0.6773,0.7409,0.4737,0.5594,0.4398,0.4949,0.6082,0.6441
BERT+LUNAR,0.7694,0.9260,0.8417,0.5186,0.4687,0.6284,0.6953,0.6522
OpenAI+LOF,0.8905,0.9558,0.9263,0.7304,0.6156,0.7806,0.7862,0.8733
OpenAI+DeepSVDD,0.4680,0.5766,0.4415,0.4816,0.6563,0.6150,0.3491,0.5373
OpenAI+ECOD,0.7638,0.7224,0.9263,0.6206,0.7366,0.7342,0.4317,0.5984
OpenAI+iForest,0.5213,0.6064,0.6937,0.5889,0.5064,0.4944,0.3751,0.5871
OpenAI+SO-GAAL,0.5945,0.2359,0.4440,0.5031,0.6201,0.5043,0.5671,0.5082
OpenAI+AE,0.8326,0.9520,0.7651,0.7067,0.6088,0.7155,0.5511,0.8524
OpenAI+VAE,0.8144,0.7250,0.5273,0.7067,0.4515,0.7418,0.4259,0.6163
OpenAI+LUNAR,0.9226,0.9732,0.9343,0.9328,0.6474,0.8320,0.7189,0.9452
